exchange,instrumenttype,name,segment,symbol,symboltoken
NFO,OPTSTK,HINDZINC,NFO,HINDZINC28OCT25390PE,88390
NFO,OPTSTK,HINDZINC,NFO,HINDZINC28OCT25450CE,88395
NFO,OPTSTK,HAVELLS,NFO,HAVELLS28OCT251800PE,88413
NFO,OPTSTK,MARICO,NFO,MARICO25NOV25680PE,101506
NFO,OPTSTK,JUBLFOOD,NFO,JUBLFOOD28OCT25720CE,101603
NFO,OPTSTK,MARICO,NFO,MARICO25NOV25880CE,101560
NFO,OPTSTK,JUBLFOOD,NFO,JUBLFOOD28OCT25680CE,101599
NFO,OPTSTK,HAVELLS,NFO,HAVELLS28OCT251840CE,88437
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25360PE,88506
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25380CE,88507
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25480PE,88525
NFO,OPTSTK,IRFC,NFO,IRFC30SEP25110PE,101614
NFO,OPTSTK,IRFC,NFO,IRFC30SEP25115CE,101615
NFO,OPTSTK,IRFC,NFO,IRFC30SEP25135PE,101624
NFO,OPTSTK,KALYANKJIL,NFO,KALYANKJIL30SEP25450CE,101668
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25205PE,88629
NFO,OPTSTK,KALYANKJIL,NFO,KALYANKJIL30SEP25470CE,101670
NFO,OPTSTK,KALYANKJIL,NFO,KALYANKJIL30SEP25590PE,101711
NFO,OPTSTK,KALYANKJIL,NFO,KALYANKJIL30SEP25610CE,101712
NFO,OPTSTK,MARUTI,NFO,MARUTI28OCT2514300CE,101786
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25500CE,88526
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25195CE,88626
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25195PE,88627
NFO,OPTSTK,KALYANKJIL,NFO,KALYANKJIL28OCT25560PE,101818
NFO,OPTSTK,MARUTI,NFO,MARUTI28OCT2514500CE,101864
NFO,OPTSTK,MARUTI,NFO,MARUTI28OCT2514700CE,101870
NFO,OPTSTK,KAYNES,NFO,KAYNES30SEP255900CE,101883
